Rank,Country,Regional indicator,Year,Happiness Score,Economy(GDP per capita),Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Dystopia and residual
1,Finland,Western Europe,2018,7.632,1.305,1.592,0.874,0.681,0.202,0.393,2.585
1,Finland,Western Europe,2019,7.769,1.34,1.587,0.986,0.596,0.153,0.393,2.714
1,Finland,Western Europe,2020,7.808700085,1.285189509,1.499525905,0.961271405,0.00066231674,0.159670442,0.477857262,2.762835026
1,Finland,Western Europe,2021,7.842,1.446,1.106,0.741,0.000691,0.124,0.481,3.253
1,Finland,Western Europe,2022,7.821,1.892,1.258,0.775,0.736,0.109,0.534,2.518
2,Norway,Western Europe,2018,7.594,1.456,1.582,0.861,0.686,0.286,0.34,2.383
2,Denmark,Western Europe,2019,7.6,1.383,1.573,0.996,0.592,0.252,0.41,2.394
2,Denmark,Western Europe,2020,7.645599842,1.326948524,1.503449202,0.979332566,0.000665039897,0.242793396,0.495260328,2.432740688
2,Denmark,Western Europe,2021,7.62,1.502,1.108,0.763,0.000686,0.208,0.485,2.868
2,Denmark,Western Europe,2022,7.636,1.953,1.243,0.777,0.719,0.188,0.532,2.226
3,Denmark,Western Europe,2018,7.555,1.351,1.59,0.868,0.683,0.284,0.408,2.371
3,Norway,Western Europe,2019,7.554,1.488,1.582,1.028,0.603,0.271,0.341,2.241
3,Switzerland,Western Europe,2020,7.559899807,1.39077425,1.472403407,1.040533185,0.00062895447,0.269055754,0.407945901,2.35026741
3,Switzerland,Western Europe,2021,7.571,1.566,1.079,0.816,0.000653,0.204,0.413,2.839
3,Iceland,Western Europe,2022,7.557,1.936,1.32,0.803,0.718,0.27,0.191,2.32
4,Iceland,Western Europe,2018,7.495,1.343,1.644,0.914,0.677,0.353,0.138,2.426
4,Iceland,Western Europe,2019,7.494,1.38,1.624,1.026,0.591,0.354,0.118,2.401
4,Iceland,Western Europe,2020,7.504499912,1.326501608,1.547567487,1.000843406,0.000661980748,0.362330228,0.144540772,2.460688114
4,Iceland,Western Europe,2021,7.554,1.482,1.172,0.772,0.000698,0.293,0.17,2.967
4,Switzerland,Western Europe,2022,7.512,2.026,1.226,0.822,0.677,0.147,0.461,2.153
5,Switzerland,Western Europe,2018,7.487,1.42,1.549,0.927,0.66,0.256,0.357,2.318
5,Netherlands,Western Europe,2019,7.488,1.396,1.522,0.999,0.557,0.322,0.298,2.394
5,Norway,Western Europe,2020,7.487999916,1.42420733,1.495172501,1.008071899,0.000670200884,0.287985086,0.434100568,2.168266296
5,Netherlands,Western Europe,2021,7.464,1.501,1.079,0.753,0.000647,0.302,0.384,2.798
5,Netherlands,Western Europe,2022,7.415,1.945,1.206,0.787,0.651,0.271,0.419,2.137
6,Netherlands,Western Europe,2018,7.441,1.361,1.488,0.878,0.638,0.333,0.295,2.448
6,Switzerland,Western Europe,2019,7.48,1.452,1.526,1.052,0.572,0.263,0.343,2.272
6,Netherlands,Western Europe,2020,7.448900223,1.338946342,1.463645935,0.975675344,0.00061362648,0.336317569,0.368569762,2.352117062
6,Norway,Western Europe,2021,7.392,1.543,1.108,0.782,0.000703,0.249,0.427,2.58
6,Luxembourg,Western Europe,2022,7.404,2.209,1.155,0.79,0.7,0.12,0.388,2.042
7,Canada,North America and ANZ,2018,7.328,1.33,1.532,0.896,0.653,0.321,0.291,2.305
7,Sweden,Western Europe,2019,7.343,1.387,1.487,1.009,0.574,0.267,0.373,2.246
7,Sweden,Western Europe,2020,7.353499889,1.322235227,1.433347702,0.986470461,0.000650297701,0.272827893,0.442066371,2.246299267
7,Sweden,Western Europe,2021,7.363,1.478,1.062,0.763,0.000685,0.244,0.448,2.683
7,Sweden,Western Europe,2022,7.384,1.92,1.204,0.803,0.724,0.218,0.512,2.003
8,New Zealand,North America and ANZ,2018,7.324,1.268,1.601,0.876,0.669,0.365,0.389,2.156
8,New Zealand,North America and ANZ,2019,7.307,1.303,1.557,1.026,0.585,0.33,0.38,2.126
8,New Zealand,North America and ANZ,2020,7.299600124,1.242317915,1.48721838,1.008138299,0.000646789908,0.325726211,0.461268276,2.128108025
8,Luxembourg,Western Europe,2021,7.324,1.751,1.003,0.76,0.000639,0.166,0.353,2.653
8,Norway,Western Europe,2022,7.365,1.997,1.239,0.786,0.728,0.217,0.474,1.925
9,Sweden,Western Europe,2018,7.314,1.355,1.501,0.913,0.659,0.285,0.383,2.218
9,Canada,North America and ANZ,2019,7.278,1.365,1.505,1.039,0.584,0.285,0.308,2.192
9,Austria,Western Europe,2020,7.294199944,1.317285538,1.437444925,1.000933528,0.000603368878,0.255509764,0.281256139,2.398446083
9,New Zealand,North America and ANZ,2021,7.277,1.4,1.094,0.785,0.000665,0.276,0.445,2.612
9,Israel,Middle East and North Africa,2022,7.364,1.826,1.221,0.818,0.568,0.155,0.143,2.634
10,Australia,North America and ANZ,2018,7.272,1.34,1.573,0.91,0.647,0.361,0.302,2.139
10,Austria,Western Europe,2019,7.246,1.376,1.475,1.016,0.532,0.244,0.226,2.377
10,Luxembourg,Western Europe,2020,7.237500191,1.536676049,1.387528419,0.986442685,0.000610137045,0.19595392,0.367041469,2.153700352
10,Austria,Western Europe,2021,7.268,1.492,1.062,0.782,0.00064,0.215,0.292,2.784
10,New Zealand,North America and ANZ,2022,7.2,1.852,1.235,0.752,0.68,0.245,0.483,1.954
11,United Kingdom,Western Europe,2018,7.19,1.244,1.433,0.888,0.464,0.262,0.082,2.817
11,Australia,North America and ANZ,2019,7.228,1.372,1.548,1.036,0.557,0.332,0.29,2.093
11,Canada,North America and ANZ,2020,7.23210001,1.301647663,1.435391903,1.022501945,0.000644028127,0.28152892,0.351701856,2.195269108
11,Australia,North America and ANZ,2021,7.183,1.453,1.076,0.801,0.000647,0.291,0.317,2.598
11,Austria,Western Europe,2022,7.163,1.931,1.165,0.774,0.623,0.193,0.329,2.148
12,Austria,Western Europe,2018,7.139,1.341,1.504,0.891,0.617,0.242,0.224,2.32
12,Costa Rica,Latin America and Caribbean,2019,7.167,1.034,1.441,0.963,0.558,0.144,0.093,2.934
12,Australia,North America and ANZ,2020,7.222799778,1.310396433,1.477146268,1.022607684,0.000621877193,0.324973613,0.335996419,2.129804134
12,Israel,Middle East and North Africa,2021,7.157,1.376,1.074,0.788,0.000509,0.208,0.119,3.083
12,Australia,North America and ANZ,2022,7.162,1.9,1.203,0.772,0.676,0.258,0.341,2.011
13,Costa Rica,Latin America and Caribbean,2018,7.072,1.01,1.459,0.817,0.632,0.143,0.101,2.91
13,Israel,Middle East and North Africa,2019,7.139,1.276,1.455,1.029,0.371,0.261,0.082,2.665
13,United Kingdom,Western Europe,2020,7.164500237,1.273061037,1.457844973,0.97570008,0.000525168657,0.373433441,0.322601646,2.236721992
13,Germany,Western Europe,2021,7.155,1.48,0.993,0.757,0.0006,0.195,0.306,2.824
13,Ireland,Western Europe,2022,7.041,2.129,1.166,0.779,0.627,0.19,0.408,1.743
14,Ireland,Western Europe,2018,6.977,1.448,1.583,0.876,0.614,0.307,0.306,1.843
14,Luxembourg,Western Europe,2019,7.09,1.609,1.479,1.012,0.526,0.194,0.316,1.954
14,Israel,Middle East and North Africa,2020,7.128600121,1.216463685,1.403256774,1.008052945,0.000420699477,0.266861796,0.09989845,2.713358402
14,Canada,North America and ANZ,2021,7.103,1.447,1.044,0.798,0.000648,0.246,0.335,2.585
14,Germany,Western Europe,2022,7.034,1.924,1.088,0.776,0.585,0.163,0.358,2.142
15,Germany,Western Europe,2018,6.965,1.34,1.474,0.861,0.586,0.273,0.28,2.151
15,United Kingdom,Western Europe,2019,7.054,1.333,1.538,0.996,0.45,0.348,0.278,2.111
15,Costa Rica,Latin America and Caribbean,2020,7.121399879,0.981107712,1.374853611,0.939635336,0.000645017743,0.131266311,0.096362092,2.953135014
15,Ireland,Western Europe,2021,7.085,1.644,1.092,0.753,0.000606,0.238,0.367,2.384
15,Canada,North America and ANZ,2022,7.025,1.886,1.188,0.783,0.659,0.217,0.368,1.924
16,Belgium,Western Europe,2018,6.927,1.324,1.483,0.894,0.583,0.188,0.24,2.215
16,Ireland,Western Europe,2019,7.021,1.499,1.553,0.999,0.516,0.298,0.31,1.846
16,Ireland,Western Europe,2020,7.093699932,1.446886778,1.470596433,0.975670695,0.000587779939,0.295426995,0.373433262,1.943878174
16,Costa Rica,Latin America and Caribbean,2021,7.069,1.134,0.966,0.722,0.000673,0.105,0.083,3.387
16,United States,North America and ANZ,2022,6.977,1.982,1.182,0.628,0.574,0.22,0.177,2.214
17,Luxembourg,Western Europe,2018,6.91,1.576,1.52,0.896,0.632,0.196,0.321,1.769
17,Germany,Western Europe,2019,6.985,1.373,1.454,0.987,0.495,0.261,0.265,2.15
17,Germany,Western Europe,2020,7.075799942,1.314184546,1.368543744,0.972114801,0.000564274132,0.252037704,0.309362292,2.295249462
17,United Kingdom,Western Europe,2021,7.064,1.423,1.062,0.757,0.00058,0.34,0.306,2.596
17,United Kingdom,Western Europe,2022,6.943,1.867,1.143,0.75,0.597,0.289,0.329,1.967
18,United States,North America and ANZ,2018,6.886,1.398,1.471,0.819,0.547,0.291,0.133,2.227
18,Belgium,Western Europe,2019,6.923,1.356,1.504,0.986,0.473,0.16,0.21,2.234
18,United States,North America and ANZ,2020,6.939599991,1.37398684,1.404786706,0.831618011,0.000534608245,0.298143059,0.152284741,2.344124794
18,Czech Republic,Central and Eastern Europe,2021,6.965,1.37,1.09,0.703,0.00058,0.052,0.046,3.124
18,Czechia,Central and Eastern Europe,2022,6.92,1.815,1.26,0.715,0.66,0.158,0.048,2.263
